azimuth_deg,elevation_deg,sign,iso_time
87.27,30.13,1,2026-06-23T08:32
108.77,46.93,-1,2026-07-03T10:17
248.27,48.84,1,2026-06-09T15:57
250.15,46.29,1,2026-05-31T16:07
253.89,44.12,-1,2026-06-02T16:22
258.32,40.85,1,2026-06-02T16:42
260.34,39.07,-1,2026-06-01T16:52
260.71,39.62,-1,2026-06-06T16:52
269.61,32.34,1,2026-06-09T17:37
275.39,25.51,1,2026-05-31T18:12
278.89,22.16,-1,2026-05-31T18:32
283.71,19.55,-1,2026-06-17T18:57
284.51,18.83,-1,2026-06-19T19:02
288.69,14.87,-1,2026-06-21T19:27
290.54,13.00,-1,2026-06-15T19:37
292.01,11.77,-1,2026-06-23T19:47
292.53,8.99,-1,2026-05-29T19:52
294.36,9.50,-1,2026-06-27T20:02
294.76,8.64,-1,2026-07-03T20:07
294.77,9.30,-1,2026-06-18T20:02
294.84,9.00,-1,2026-06-13T20:02
294.85,8.67,-1,2026-07-02T20:07
295.29,8.74,-1,2026-06-26T20:07
295.35,8.74,-1,2026-06-25T20:07
295.40,8.72,-1,2026-06-24T20:07
