azimuth_deg,elevation_deg,sign,iso_time
78.97,22.18,1,2026-06-23T07:45
79.77,22.79,1,2026-06-27T07:50
79.80,22.96,1,2026-06-24T07:50
79.82,22.43,1,2026-07-02T07:50
79.86,23.05,1,2026-06-22T07:50
79.89,23.09,1,2026-06-21T07:50
79.93,23.12,1,2026-06-20T07:50
79.98,23.15,1,2026-06-19T07:50
80.03,23.18,1,2026-06-18T07:50
80.41,22.14,1,2026-06-04T07:45
80.63,23.49,1,2026-06-29T07:55
80.63,23.69,1,2026-06-26T07:55
80.65,23.74,1,2026-06-25T07:55
80.66,22.03,1,2026-06-02T07:45
80.83,23.14,1,2026-06-08T07:50
81.04,23.07,1,2026-06-06T07:50
81.79,21.35,1,2026-05-25T07:45
81.93,22.65,1,2026-05-30T07:50
82.07,22.57,1,2026-05-29T07:50
82.21,22.48,1,2026-05-28T07:50
82.51,22.29,1,2026-05-26T07:50
82.99,21.95,1,2026-05-23T07:50
83.15,21.83,1,2026-05-22T07:50
84.95,14.76,1,2026-04-28T07:35
85.30,19.94,1,2026-05-10T07:50
86.07,19.13,1,2026-05-06T07:50
87.06,18.01,1,2026-05-01T07:50
87.08,28.97,1,2026-06-07T08:25
87.17,19.76,1,2026-05-05T07:55
87.37,19.54,1,2026-05-04T07:55
87.56,19.32,1,2026-05-03T07:55
87.76,19.09,1,2026-05-02T07:55
88.17,18.62,1,2026-04-30T07:55
88.50,25.35,1,2026-05-17T08:15
88.78,17.88,1,2026-04-27T07:55
88.98,17.62,1,2026-04-26T07:55
89.19,17.36,1,2026-04-25T07:55
89.39,17.10,1,2026-04-24T07:55
99.00,34.60,-1,2026-05-17T09:10
101.91,41.49,1,2026-06-05T09:40
259.82,39.49,-1,2026-06-01T16:50
261.23,39.20,-1,2026-06-06T16:55
261.57,25.75,-1,2026-04-25T17:35
266.70,33.51,-1,2026-05-31T17:25
268.40,27.99,-1,2026-05-16T17:45
270.60,26.63,-1,2026-05-18T17:55
271.06,28.92,-1,2026-05-28T17:50
272.07,28.20,-1,2026-05-29T17:55
