azimuth_deg,elevation_deg,n_points
1.0,0.00,0
3.0,0.00,0
5.0,0.00,0
7.0,0.00,0
9.0,0.00,0
11.0,0.00,0
13.0,0.00,0
15.0,0.00,0
17.0,0.00,0
19.0,0.00,0
21.0,0.00,0
23.0,0.00,0
25.0,0.00,0
27.0,0.00,0
29.0,0.00,0
31.0,0.00,0
33.0,0.00,0
35.0,0.00,0
37.0,0.00,0
39.0,0.00,0
41.0,0.00,0
43.0,0.00,0
45.0,0.00,0
47.0,0.00,0
49.0,0.00,0
51.0,0.00,0
53.0,0.00,0
55.0,0.00,0
57.0,0.00,0
59.0,0.00,0
61.0,0.00,0
63.0,0.00,0
65.0,0.00,0
67.0,0.00,0
69.0,0.00,0
71.0,0.00,0
73.0,0.00,0
75.0,0.00,0
77.0,0.00,0
79.0,23.01,8
81.0,23.01,10
83.0,22.29,5
85.0,19.32,2
87.0,17.75,7
89.0,17.92,6
91.0,17.92,0
93.0,18.09,0
95.0,18.26,0
97.0,18.43,0
99.0,18.60,1
101.0,18.78,1
103.0,18.95,0
105.0,19.12,0
107.0,19.29,0
109.0,19.46,0
111.0,19.63,0
113.0,19.80,0
115.0,19.97,0
117.0,20.15,0
119.0,20.32,0
121.0,20.49,0
123.0,20.66,0
125.0,20.83,0
127.0,21.00,0
129.0,21.17,0
131.0,21.35,0
133.0,21.52,0
135.0,21.69,0
137.0,21.86,0
139.0,22.03,0
141.0,22.20,0
143.0,22.37,0
145.0,22.54,0
147.0,22.72,0
149.0,22.89,0
151.0,23.06,0
153.0,23.23,0
155.0,23.40,0
157.0,23.57,0
159.0,23.74,0
161.0,23.91,0
163.0,24.09,0
165.0,24.26,0
167.0,24.43,0
169.0,24.60,0
171.0,24.77,0
173.0,24.94,0
175.0,25.11,0
177.0,25.28,0
179.0,25.46,0
181.0,25.63,0
183.0,25.80,0
185.0,25.97,0
187.0,26.14,0
189.0,26.31,0
191.0,26.48,0
193.0,26.65,0
195.0,26.83,0
197.0,27.00,0
199.0,27.17,0
201.0,27.34,0
203.0,27.51,0
205.0,27.68,0
207.0,27.85,0
209.0,28.02,0
211.0,28.20,0
213.0,28.37,0
215.0,28.54,0
217.0,28.71,0
219.0,28.88,0
221.0,29.05,0
223.0,29.22,0
225.0,29.39,0
227.0,29.57,0
229.0,29.74,0
231.0,29.91,0
233.0,30.08,0
235.0,30.25,0
237.0,30.42,0
239.0,30.59,0
241.0,30.76,0
243.0,30.94,0
245.0,31.11,0
247.0,31.28,0
249.0,31.45,0
251.0,31.62,0
253.0,31.79,0
255.0,31.96,0
257.0,32.13,0
259.0,32.31,1
261.0,32.31,2
263.0,31.54,0
265.0,30.60,0
267.0,29.65,1
269.0,28.71,1
271.0,27.77,2
273.0,0.00,1
275.0,0.00,0
277.0,0.00,0
279.0,0.00,0
281.0,0.00,0
283.0,0.00,0
285.0,0.00,0
287.0,0.00,0
289.0,0.00,0
291.0,0.00,0
293.0,0.00,0
295.0,0.00,0
297.0,0.00,0
299.0,0.00,0
301.0,0.00,0
303.0,0.00,0
305.0,0.00,0
307.0,0.00,0
309.0,0.00,0
311.0,0.00,0
313.0,0.00,0
315.0,0.00,0
317.0,0.00,0
319.0,0.00,0
321.0,0.00,0
323.0,0.00,0
325.0,0.00,0
327.0,0.00,0
329.0,0.00,0
331.0,0.00,0
333.0,0.00,0
335.0,0.00,0
337.0,0.00,0
339.0,0.00,0
341.0,0.00,0
343.0,0.00,0
345.0,0.00,0
347.0,0.00,0
349.0,0.00,0
351.0,0.00,0
353.0,0.00,0
355.0,0.00,0
357.0,0.00,0
359.0,0.00,0
