azimuth_deg,elevation_deg,n_points
1.0,0.00,0
3.0,0.00,0
5.0,0.00,0
7.0,0.00,0
9.0,0.00,0
11.0,0.00,0
13.0,0.00,0
15.0,0.00,0
17.0,0.00,0
19.0,0.00,0
21.0,0.00,0
23.0,0.00,0
25.0,0.00,0
27.0,0.00,0
29.0,0.00,0
31.0,0.00,0
33.0,0.00,0
35.0,0.00,0
37.0,0.00,0
39.0,0.00,0
41.0,0.00,0
43.0,0.00,0
45.0,0.00,0
47.0,0.00,0
49.0,0.00,0
51.0,0.00,0
53.0,0.00,0
55.0,0.00,0
57.0,0.00,0
59.0,0.00,0
61.0,0.00,0
63.0,0.00,0
65.0,0.00,0
67.0,0.00,0
69.0,0.00,0
71.0,0.00,0
73.0,0.00,0
75.0,0.00,0
77.0,0.00,0
79.0,0.00,0
81.0,23.36,13
83.0,23.36,8
85.0,23.26,2
87.0,20.24,2
89.0,19.70,6
91.0,18.20,3
93.0,0.00,0
95.0,0.00,0
97.0,0.00,0
99.0,0.00,0
101.0,0.00,0
103.0,0.00,0
105.0,0.00,0
107.0,0.00,0
109.0,0.00,0
111.0,0.00,0
113.0,0.00,0
115.0,0.00,0
117.0,0.00,0
119.0,0.00,0
121.0,0.00,0
123.0,0.00,0
125.0,0.00,0
127.0,0.00,0
129.0,0.00,0
131.0,0.00,0
133.0,0.00,0
135.0,0.00,0
137.0,0.00,0
139.0,0.00,0
141.0,0.00,0
143.0,0.00,0
145.0,0.00,0
147.0,0.00,0
149.0,0.00,0
151.0,0.00,0
153.0,0.00,0
155.0,0.00,0
157.0,0.00,0
159.0,0.00,0
161.0,0.00,0
163.0,0.00,0
165.0,0.00,0
167.0,0.00,0
169.0,0.00,0
171.0,0.00,0
173.0,0.00,0
175.0,0.00,0
177.0,0.00,0
179.0,0.00,0
181.0,0.00,0
183.0,0.00,0
185.0,0.00,0
187.0,0.00,0
189.0,0.00,0
191.0,0.00,0
193.0,0.00,0
195.0,0.00,0
197.0,0.00,0
199.0,0.00,0
201.0,0.00,0
203.0,0.00,0
205.0,0.00,0
207.0,0.00,0
209.0,0.00,0
211.0,0.00,0
213.0,0.00,0
215.0,0.00,0
217.0,0.00,0
219.0,0.00,0
221.0,0.00,0
223.0,0.00,0
225.0,0.00,0
227.0,0.00,0
229.0,0.00,0
231.0,0.00,0
233.0,0.00,0
235.0,0.00,0
237.0,0.00,0
239.0,0.00,0
241.0,0.00,0
243.0,0.00,0
245.0,0.00,0
247.0,0.00,0
249.0,0.00,0
251.0,0.00,0
253.0,0.00,0
255.0,0.00,0
257.0,0.00,1
259.0,0.00,0
261.0,0.00,0
263.0,0.00,0
265.0,0.00,0
267.0,0.00,0
269.0,0.00,0
271.0,0.00,0
273.0,0.00,0
275.0,0.00,0
277.0,0.00,0
279.0,0.00,0
281.0,0.00,0
283.0,0.00,0
285.0,0.00,0
287.0,0.00,0
289.0,0.00,0
291.0,0.00,0
293.0,0.00,0
295.0,0.00,0
297.0,0.00,0
299.0,0.00,0
301.0,0.00,0
303.0,0.00,0
305.0,0.00,0
307.0,0.00,0
309.0,0.00,0
311.0,0.00,0
313.0,0.00,0
315.0,0.00,0
317.0,0.00,0
319.0,0.00,0
321.0,0.00,0
323.0,0.00,0
325.0,0.00,0
327.0,0.00,0
329.0,0.00,0
331.0,0.00,0
333.0,0.00,0
335.0,0.00,0
337.0,0.00,0
339.0,0.00,0
341.0,0.00,0
343.0,0.00,0
345.0,0.00,0
347.0,0.00,0
349.0,0.00,0
351.0,0.00,0
353.0,0.00,0
355.0,0.00,0
357.0,0.00,0
359.0,0.00,0
